ID	Precision	Recall	F1
1	0	0	0
2	1.0	0.5	0.6666667
3	0	0	0
4	1.0	0.5	0.6666667
5	0	0	0
6	0	0	0
7	0	0	0
8	0.026666667	0.22222222	0.047619045
9	0	0	0
10	1.0	1.0	1.0
11	0	0	0
12	1.0	1.0	1.0
13	0	0	0
14	0	0	0
15	1.0	1.0	1.0
16	0	0	0
17	0	0	0
18	0	0	0
19	0	0	0
20	1.0	1.0	1.0
21	1.0	1.0	1.0
22	0	0	0
23	0	0	0
24	0.9787234	1.0	0.9892473
25	0	0	0
26	0	0	0
27	0	0	0
28	0	0	0
29	1.0	0.9625	0.9808917
30	0	0	0
31	0.003649635	1.0	0.0072727273
32	0	0	0
33	1.0	1.0	1.0
34	0	0	0
35	0	0	0
36	0	0	0
37	1.0	1.0	1.0
38	0	0	0
39	1.0	1.0	1.0
40	1.0	0.75384617	0.8596491
41	0	0	0
42	0	0	0
43	0	0	0
44	1.0	1.0	1.0
45	0	0	0
46	1.0	1.0	1.0
47	0.097222224	1.0	0.17721519
48	1.0	1.0	1.0
49	0	0	0
50	0	0	0
51	0.8880597	0.9916667	0.9370078
52	0	0	0
53	0	0	0
54	0.7771429	0.9784173	0.86624205
55	1.0	1.0	1.0
56	0	0	0
57	0	0	0
58	0	0	0
59	0.9886364	0.9886364	0.9886364
60	1.0	1.0	1.0
61	1.0	1.0	1.0
62	0	0	0
63	0	0	0
64	0	0	0
65	0	0	0
66	0	0	0
67	0	0	0
68	0	0	0
69	1.0	0.016949153	0.03333333
70	0.2	0.90909094	0.32786885
71	0	0	0
72	0	0	0
73	0	0	0
74	0	0	0
75	0	0	0
76	0	0	0
77	0	0	0
78	0	0	0
79	0	0	0
80	0	0	0
81	0	0	0
82	0	0	0
83	1.0	1.0	1.0
84	0	0	0
85	1.0	1.0	1.0
86	1.0	1.0	1.0
87	1.0	1.0	1.0
88	0	0	0
89	0	0	0
90	0	0	0
91	0.6666667	1.0	0.8
92	1.0	1.0	1.0
93	1.0	1.0	1.0
94	1.0	1.0	1.0
95	0	0	0
96	1.0	1.0	1.0
97	0	0	0
98	0	0	0
99	0	0	0
100	0	0	0
101	1.0	0.42857143	0.59999996
102	1.0	1.0	1.0
103	0	0	0
104	1.0	1.0	1.0
105	0	0	0
106	0	0	0
107	0	0	0
108	0	0	0
109	0	0	0
110	0	0	0
111	0	0	0
112	1.0	1.0	1.0
113	0	0	0
114	0.16666667	0.055555556	0.083333336
115	0	0	0
116	0	0	0
117	0	0	0
118	0	0	0
119	0	0	0
120	0	0	0
121	0	0	0
122	1.0	0.7777778	0.875
123	0	0	0
124	0	0	0
125	0	0	0
126	1.0	1.0	1.0
127	0	0	0
128	0	0	0
129	0	0	0
130	0	0	0
131	1.0	1.0	1.0
132	1.0	1.0	1.0
133	0	0	0
134	0	0	0
135	0	0	0
136	0.16666667	0.5714286	0.25806454
137	1.0	1.0	1.0
138	0	0	0
139	1.0	0.84347826	0.9150944
140	0	0	0
141	0	0	0
142	0	0	0
143	0.8333333	1.0	0.90909094
144	1.0	1.0	1.0
145	1.0	1.0	1.0
146	0	0	0
147	0	0	0
148	0	0	0
149	0	0	0
150	0	0	0
151	1.0	1.0	1.0
152	0.3	1.0	0.4615385
153	1.0	1.0	1.0
154	0	0	0
155	0.02631579	1.0	0.051282052
156	0	0	0
157	1.0	1.0	1.0
158	0.15116279	1.0	0.26262626
159	0	0	0
160	1.0	1.0	1.0
161	1.0	0.1780303	0.3022508
162	1.0	1.0	1.0
163	1.0	1.0	1.0
164	0.9787234	1.0	0.9892473
165	0	0	0
166	1.0	1.0	1.0
167	0	0	0
168	0	0	0
169	0.29113925	0.9108911	0.441247
170	0	0	0
171	0.68421054	1.0	0.8125
172	0	0	0
173	0	0	0
174	0	0	0
175	0	0	0
176	1.0	1.0	1.0
177	0	0	0
178	0	0	0
179	1.0	1.0	1.0
180	0	0	0
181	1.0	0.33333334	0.5
182	0.04761905	0.14285715	0.071428575
183	0.9708738	0.97902095	0.9749304
184	1.0	1.0	1.0
185	1.0	1.0	1.0
186	0	0	0
187	0	0	0
188	0	0	0
189	1.0	1.0	1.0
190	0	0	0
191	0	0	0
192	0	0	0
193	0	0	0
194	0	0	0
195	0	0	0
196	0	0	0
197	1.0	1.0	1.0
198	1.0	1.0	1.0
199	1.0	1.0	1.0
200	1.0	1.0	1.0
201	0	0	0
202	0	0	0
203	0	0	0
204	0	0	0
205	0.18181819	1.0	0.3076923
206	0	0	0
207	0	0	0
208	0.33333334	1.0	0.5
209	0	0	0
210	1.0	1.0	1.0
211	0	0	0
212	1.0	1.0	1.0
213	1.0	1.0	1.0
214	0	0	0
215	0	0	0
216	0.5	1.0	0.6666667
217	1.0	1.0	1.0
218	1.0	1.0	1.0
219	0	0	0
220	0	0	0
221	0.6666667	0.6666667	0.6666667
222	0	0	0
223	0	0	0
224	1.0	1.0	1.0
225	1.0	1.0	1.0
226	0	0	0
227	0	0	0
229	0	0	0
230	1.0	1.0	1.0
231	1.0	1.0	1.0
232	1.0	1.0	1.0
233	1.0	1.0	1.0
234	1.0	1.0	1.0
