Question	TagMe	Fox	Wikipedia Miner	Spotlight	MultiSpotter	Optimal Spotter
23	0	1	0	1	0	1
22	1	1	1	0	0	1
20	0	1	0.7058823529	1	0	1
19	0	1	0.1538461538	1	0	1
18	0	1	1	0	0	1
17	0	0.5	0.6666666667	0	0	0
16	0.1538461538	0.25	0	0	0	0.1538461538
15	0.6666666667	0.6666666667	0.6666666667	0.6666666667	0.6666666667	0.6666666667
14	0	1	1	0	0	1
11	0	0	0	0	0	0
9	0.2857142857	0.1176470588	0.625	0.3333333333	0.2857142857	0.7142857143
8	0	0.3076923077	0.3076923077	0	0	0.3076923077
6	0	1	1	0	0	1
5	0.8	0.8	0.8	0.8	0.8	0
3	1	1	1	0	0	0
2	0	1	0	0	0	1
1	0	0	0	0	0	0
