ID	Precision	Recall	F1
1	0	0	0
2	0	0	0
3	1.0	1.0	1.0
4	0	0	0
5	0	0	0
6	0	0	0
7	1.0	1.0	1.0
8	1.0	1.0	1.0
9	0	0	0
10	0	0	0
11	0	0	0
12	0.5	0.14285715	0.22222224
13	0.0052539404	1.0	0.010452962
14	1.0	1.0	1.0
15	0.025641026	1.0	0.049999997
16	0	0	0
17	1.0	1.0	1.0
18	0	0	0
19	1.0	1.0	1.0
20	1.0	1.0	1.0
21	1.0	1.0	1.0
22	0	0	0
23	0	0	0
24	1.0	1.0	1.0
25	0	0	0
26	0	0	0
27	0	0	0
28	0.048780486	1.0	0.093023255
29	0	0	0
30	1.0	1.0	1.0
31	0	0	0
32	1.0	1.0	1.0
33	0	0	0
34	1.0	0.25	0.4
35	0	0	0
36	0.33333334	0.5	0.4
37	1.0	1.0	1.0
38	0	0	0
39	1.0	1.0	1.0
40	1.0	1.0	1.0
41	0	0	0
42	1.0	1.0	1.0
43	0	0	0
44	0	0	0
45	0	0	0
46	0	0	0
47	1.0	1.0	1.0
48	0	0	0
49	1.0	1.0	1.0
50	0	0	0
51	1.0	1.0	1.0
52	0	0	0
53	0	0	0
54	0	0	0
55	1.0	1.0	1.0
56	0	0	0
57	0	0	0
58	0	0	0
59	0	0	0
60	0	0	0
61	1.0	1.0	1.0
62	0	0	0
63	1.0	1.0	1.0
64	0	0	0
65	0.0010504202	1.0	0.0020986358
66	0	0	0
67	0	0	0
68	1.0	1.0	1.0
69	0	0	0
70	0	0	0
71	0	0	0
72	0.006802721	1.0	0.013513514
73	1.0	1.0	1.0
74	1.0	1.0	1.0
75	0	0	0
76	0.01754386	1.0	0.03448276
77	0	0	0
78	1.0	1.0	1.0
79	0	0	0
80	0	0	0
81	0	0	0
82	1.0	1.0	1.0
83	0.25	1.0	0.4
84	1.0	1.0	1.0
85	0	0	0
86	0	0	0
87	1.0	1.0	1.0
88	0	0	0
89	0	0	0
90	0	0	0
91	0	0	0
92	1.0	1.0	1.0
93	1.0	1.0	1.0
94	0	0	0
95	0	0	0
96	0.06866953	1.0	0.12851405
97	0	0	0
98	0	0	0
99	0	0	0
100	1.0	1.0	1.0
101	1.0	1.0	1.0
102	0	0	0
103	1.0	1.0	1.0
104	0	0	0
105	0	0	0
106	0	0	0
107	1.0	1.0	1.0
108	0	0	0
109	0	0	0
110	0	0	0
111	0	0	0
112	0	0	0
113	0	0	0
114	0	0	0
115	0	0	0
116	0.18181819	1.0	0.3076923
117	0	0	0
118	0	0	0
119	0	0	0
120	0	0	0
121	0	0	0
122	1.0	1.0	1.0
123	1.0	1.0	1.0
124	1.0	1.0	1.0
125	0	0	0
126	0.041666668	1.0	0.080000006
127	0	0	0
128	1.0	1.0	1.0
129	1.0	1.0	1.0
130	0	0	0
131	0	0	0
132	0	0	0
133	0	0	0
134	0	0	0
135	1.0	1.0	1.0
136	0.5	0.07317073	0.12765957
137	1.0	1.0	1.0
138	1.0	1.0	1.0
139	0	0	0
140	1.0	1.0	1.0
141	1.0	1.0	1.0
142	1.0	1.0	1.0
143	1.0	1.0	1.0
144	0	0	0
145	0	0	0
146	1.0	1.0	1.0
147	0	0	0
148	0	0	0
149	0	0	0
150	0	0	0
151	0	0	0
152	1.0	1.0	1.0
153	1.0	1.0	1.0
154	0	0	0
155	0	0	0
156	0	0	0
157	0	0	0
158	0	0	0
159	0	0	0
160	0	0	0
161	1.0	1.0	1.0
162	0	0	0
163	0	0	0
164	0.045454547	1.0	0.08695653
165	0.2857143	0.6666667	0.4
166	0	0	0
167	0	0	0
168	0	0	0
169	0	0	0
170	0	0	0
171	0	0	0
172	0	0	0
173	0	0	0
174	1.0	1.0	1.0
175	0	0	0
176	0	0	0
177	0	0	0
178	0	0	0
179	0	0	0
180	0	0	0
181	0	0	0
182	0	0	0
183	0	0	0
184	0	0	0
185	0	0	0
186	0	0	0
187	0	0	0
188	0	0	0
189	0	0	0
190	0	0	0
191	0	0	0
192	0	0	0
193	0	0	0
194	1.0	1.0	1.0
195	0	0	0
196	1.0	1.0	1.0
197	0	0	0
198	0	0	0
199	0	0	0
200	0	0	0
201	1.0	0.5	0.6666667
202	1.0	1.0	1.0
203	1.0	0.5	0.6666667
204	0	0	0
205	0	0	0
206	0	0	0
207	0	0	0
208	0	0	0
209	0	0	0
210	1.0	1.0	1.0
211	0	0	0
212	0	0	0
213	0	0	0
214	0	0	0
215	0	0	0
216	0	0	0
217	0	0	0
218	1.0	1.0	1.0
219	0.125	1.0	0.22222222
