ID	Precision	Recall	F1
1	1.0	1.0	1.0
2	1.0	1.0	1.0
3	1.0	1.0	1.0
4	1.0	0.5	0.6666667
5	0	0	0
6	0	0	0
7	0	0	0
8	0	0	0
9	0.01	0.083333336	0.017857144
10	0	0	0
11	0	0	0
12	1.0	1.0	1.0
13	0	0	0
14	0	0	0
15	0	0	0
16	0	0	0
17	0	0	0
18	0	0	0
19	0	0	0
20	1.0	1.0	1.0
21	1.0	1.0	1.0
22	0	0	0
23	0	0	0
24	0	0	0
25	0.9782609	1.0	0.989011
26	0	0	0
27	0	0	0
28	0	0	0
29	1.0	1.0	1.0
30	0	0	0
31	0.14285715	1.0	0.25
32	0.017175572	0.9	0.033707865
33	1.0	1.0	1.0
34	0	0	0
35	0	0	0
36	0	0	0
37	1.0	1.0	1.0
38	1.0	1.0	1.0
39	1.0	1.0	1.0
40	1.0	1.0	1.0
41	0	0	0
42	0	0	0
43	0	0	0
44	0	0	0
45	1.0	1.0	1.0
46	0	0	0
47	0	0	0
48	1.0	1.0	1.0
49	0	0	0
50	0	0	0
51	0	0	0
52	0	0	0
53	0	0	0
54	1.0	0.035971224	0.06944445
55	1.0	1.0	1.0
56	1.0	1.0	1.0
57	1.0	1.0	1.0
58	0	0	0
59	1.0	1.0	1.0
60	1.0	1.0	1.0
61	1.0	1.0	1.0
62	0	0	0
63	1.0	1.0	1.0
64	1.0	1.0	1.0
65	1.0	1.0	1.0
66	1.0	1.0	1.0
67	0	0	0
68	0.05	0.15151516	0.07518797
69	0.8719212	1.0	0.93157893
70	1.0	1.0	1.0
71	0	0	0
72	0	0	0
73	0	0	0
74	0	0	0
75	0	0	0
76	0	0	0
77	1.0	1.0	1.0
78	0	0	0
79	0	0	0
80	0	0	0
81	0	0	0
82	1.0	0.5555556	0.71428573
83	1.0	1.0	1.0
84	1.0	1.0	1.0
85	1.0	1.0	1.0
86	1.0	1.0	1.0
87	1.0	1.0	1.0
88	0	0	0
89	0	0	0
90	0	0	0
91	0	0	0
92	1.0	1.0	1.0
93	0	0	0
94	1.0	1.0	1.0
95	0	0	0
96	0	0	0
97	0	0	0
98	0	0	0
99	0	0	0
100	0	0	0
101	0	0	0
102	0	0	0
103	0	0	0
104	0	0	0
105	0	0	0
106	1.0	1.0	1.0
107	0	0	0
108	0	0	0
109	1.0	1.0	1.0
110	0	0	0
111	0	0	0
112	0	0	0
113	0	0	0
114	0	0	0
115	0	0	0
116	0	0	0
117	1.0	1.0	1.0
118	1.0	1.0	1.0
119	0	0	0
120	0	0	0
121	0	0	0
122	0	0	0
123	0	0	0
124	0.24390244	1.0	0.39215687
125	0	0	0
126	1.0	1.0	1.0
127	0	0	0
128	0	0	0
129	1.0	1.0	1.0
130	0	0	0
131	1.0	1.0	1.0
132	1.0	1.0	1.0
133	0	0	0
134	0	0	0
135	0.056537103	1.0	0.10702341
136	0.20833333	0.71428573	0.32258064
137	1.0	1.0	1.0
138	0	0	0
139	1.0	1.0	1.0
140	0	0	0
141	0	0	0
142	0	0	0
143	1.0	1.0	1.0
144	0	0	0
145	0.18367347	1.0	0.31034482
146	0	0	0
147	0.875	0.46666667	0.6086956
148	0	0	0
149	0	0	0
150	0	0	0
151	0	0	0
152	1.0	1.0	1.0
153	0	0	0
154	0	0	0
155	1.0	1.0	1.0
156	0	0	0
157	1.0	1.0	1.0
158	0	0	0
159	0	0	0
160	0	0	0
161	1.0	1.0	1.0
162	1.0	1.0	1.0
163	0	0	0
164	0	0	0
165	0	0	0
166	0	0	0
167	1.0	1.0	1.0
168	0	0	0
169	0.34	0.33663365	0.33830845
170	0	0	0
171	1.0	1.0	1.0
172	0	0	0
173	0	0	0
174	0	0	0
175	0	0	0
176	1.0	1.0	1.0
177	0	0	0
178	4.1237113E-4	0.2857143	8.235536E-4
179	1.0	1.0	1.0
180	0	0	0
181	0	0	0
182	0	0	0
183	1.0	0.97902095	0.98939925
184	1.0	1.0	1.0
185	1.0	1.0	1.0
186	0	0	0
187	1.0	1.0	1.0
188	0	0	0
189	1.0	1.0	1.0
190	0	0	0
191	1.0	1.0	1.0
192	0.5	1.0	0.6666667
193	0	0	0
194	0	0	0
195	0	0	0
196	0	0	0
197	0	0	0
198	1.0	1.0	1.0
199	1.0	1.0	1.0
200	1.0	1.0	1.0
201	0.00625	1.0	0.0124223605
202	0	0	0
203	1.0	1.0	1.0
204	1.0	1.0	1.0
205	1.0	1.0	1.0
206	0	0	0
207	0.0058479533	1.0	0.011627907
208	0	0	0
209	1.0	1.0	1.0
210	0	0	0
211	1.0	1.0	1.0
212	1.0	1.0	1.0
213	1.0	1.0	1.0
214	1.0	1.0	1.0
215	0	0	0
216	0	0	0
217	0	0	0
218	1.0	1.0	1.0
219	0	0	0
220	1.0	1.0	1.0
221	1.0	0.6666667	0.8
222	0	0	0
223	1.0	1.0	1.0
224	1.0	1.0	1.0
225	1.0	1.0	1.0
226	1.0	1.0	1.0
227	0	0	0
229	0	0	0
230	1.0	1.0	1.0
231	1.0	1.0	1.0
232	1.0	1.0	1.0
233	1.0	1.0	1.0
234	0	0	0
235	0	0	0
236	0	0	0
237	0	0	0
238	1.0	1.0	1.0
239	0	0	0
241	0	0	0
242	0	0	0
243	0	0	0
244	1.0	1.0	1.0
245	0	0	0
246	0	0	0
247	1.0	0.5	0.6666667
248	1.0	1.0	1.0
249	0	0	0
250	0	0	0
251	0	0	0
252	1.0	1.0	1.0
253	1.0	1.0	1.0
