ID	Precision	Recall	F1
1	0.25	0.2	0.22222224
2	0	0	0
3	0	0	0
4	1.0	1.0	1.0
5	0	0	0
6	0	0	0
7	0	0	0
8	0	0	0
9	0	0	0
10	0	0	0
11	1.0	1.0	1.0
12	1.0	0.14285715	0.25
13	0.33333334	0.33333334	0.33333334
14	0	0	0
15	0	0	0
16	0	0	0
17	1.0	1.0	1.0
18	0	0	0
19	1.0	1.0	1.0
20	0	0	0
21	0	0	0
22	0	0	0
23	0	0	0
24	0	0	0
25	0	0	0
26	0	0	0
27	0	0	0
28	0	0	0
29	1.0	1.0	1.0
30	0	0	0
31	0	0	0
32	0	0	0
33	0	0	0
34	1.0	0.5	0.6666667
35	0	0	0
36	0	0	0
37	1.0	1.0	1.0
38	0	0	0
39	0.05	1.0	0.095238104
40	1.0	1.0	1.0
41	1.0	1.0	1.0
42	1.0	1.0	1.0
43	0	0	0
44	0	0	0
45	0	0	0
46	0	0	0
47	0	0	0
48	0	0	0
49	1.0	1.0	1.0
50	0	0	0
51	0	0	0
52	0	0	0
53	0	0	0
54	0	0	0
55	1.0	1.0	1.0
56	0.75	0.85714287	0.79999995
57	0	0	0
58	0	0	0
59	1.0	1.0	1.0
60	0	0	0
61	0	0	0
62	0	0	0
63	1.0	1.0	1.0
64	0	0	0
65	0	0	0
66	0.33333334	0.5	0.4
67	0	0	0
68	0	0	0
69	0	0	0
70	0	0	0
71	0	0	0
72	0	0	0
73	1.0	1.0	1.0
74	0	0	0
75	0	0	0
76	0.125	1.0	0.22222222
77	0	0	0
78	1.0	1.0	1.0
79	0.25	1.0	0.4
80	0	0	0
81	1.0	1.0	1.0
82	0	0	0
83	0	0	0
84	0	0	0
85	0	0	0
86	0	0	0
87	0	0	0
88	0	0	0
89	0	0	0
90	0	0	0
91	1.0	1.0	1.0
92	0	0	0
93	0	0	0
94	0	0	0
95	0	0	0
96	0	0	0
97	0	0	0
98	0	0	0
99	0.05	1.0	0.095238104
100	0	0	0
101	0	0	0
102	0	0	0
103	1.0	0.33333334	0.5
104	0	0	0
105	0.5	0.1875	0.27272728
106	0	0	0
107	0	0	0
108	0	0	0
109	0	0	0
110	0	0	0
111	0	0	0
112	0	0	0
113	0	0	0
114	0.8	0.6666667	0.72727275
115	0	0	0
116	1.0	1.0	1.0
117	0	0	0
118	0	0	0
119	0	0	0
120	1.0	0.33333334	0.5
121	1.0	0.5	0.6666667
122	0	0	0
123	1.0	1.0	1.0
124	0	0	0
125	0	0	0
126	0.33333334	0.2	0.25
127	0	0	0
128	1.0	1.0	1.0
129	1.0	1.0	1.0
130	0.5	1.0	0.6666667
131	1.0	1.0	1.0
132	0	0	0
133	1.0	1.0	1.0
134	0	0	0
135	0	0	0
136	0	0	0
137	1.0	1.0	1.0
138	0	0	0
139	1.0	1.0	1.0
140	1.0	1.0	1.0
141	0	0	0
142	1.0	1.0	1.0
143	0	0	0
144	1.0	1.0	1.0
145	0	0	0
146	0	0	0
147	0	0	0
148	0.055555556	1.0	0.10526316
149	0	0	0
150	0	0	0
151	0	0	0
152	1.0	1.0	1.0
153	0	0	0
154	0	0	0
155	0	0	0
156	1.0	1.0	1.0
157	0	0	0
158	0	0	0
159	1.0	1.0	1.0
160	0	0	0
161	0	0	0
162	1.0	1.0	1.0
163	0	0	0
164	0	0	0
165	0	0	0
166	0	0	0
167	1.0	1.0	1.0
168	0	0	0
169	0	0	0
170	0	0	0
171	0	0	0
172	0.11111111	0.6666667	0.1904762
173	0	0	0
174	1.0	1.0	1.0
175	0	0	0
176	0	0	0
177	0	0	0
178	0	0	0
179	0	0	0
180	0	0	0
181	1.0	1.0	1.0
182	0	0	0
183	0	0	0
184	0	0	0
185	0	0	0
186	0	0	0
187	0	0	0
188	0	0	0
189	0	0	0
190	0	0	0
191	0	0	0
192	0	0	0
193	0	0	0
194	0	0	0
195	0	0	0
196	0	0	0
197	0	0	0
198	0	0	0
199	0	0	0
200	0	0	0
201	0	0	0
202	0	0	0
203	1.0	0.5	0.6666667
204	0.33333334	0.33333334	0.33333334
205	0	0	0
206	0	0	0
207	0	0	0
208	1.0	1.0	1.0
209	0	0	0
210	0	0	0
211	0	0	0
212	0	0	0
213	0	0	0
214	0	0	0
215	0	0	0
216	0	0	0
217	0	0	0
218	0	0	0
219	0	0	0
