,,Question Type,Answer Resource Type,Wh-type,#Token,Limit (includes order by and offset),Comparative,Superlative,Person,Location,Organization,Misc,APEQ,QAnswer,SemGraphQA,Xser,YODAQA,Optimal
1,Give me all ESA astronauts.,List,Person,Command,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0.07843137255,0,1,0.2926829268,1
2,Give me all Swedish holidays.,List,Misc,Command,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,1,0,0,0,1
3,Who is the youngest Pulitzer Prize winner?,Resource,Person,Who,5,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,1,0,1
4,Which animals are critically endangered?,List,Misc,Which,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0
5,Which soccer players were born on Malta?,List,Person,Which,6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.3972911964,1,1,1,0,1
6,Did Arnold Schwarzenegger attend a university?,Boolean,Boolean,Ask,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,1,1,1,1,1
7,Which programming languages were influenced by Perl?,List,Misc,Which,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.5625,0,0,0.6923076923,0,0.6923076923
8,Is Barack Obama a democrat?,Boolean,Boolean,Ask,4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,0,1,1,1
9,How many children does Eddie Murphy have?,Number,Number,How,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,1,1,0,1
10,Who is the oldest child of Meryl Streep?,Resource,Person,Who,7,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.5,0,0.5,1,0,1
11,Who killed John Lennon?,Resource,Person,Who,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,1,0,1
12,In which city is Air China headquartered?,Resource,Location,In which,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0.5,0.5,1,1
13,Which frequent flyer program has the most airlines?,Resource,Organization,Which,6,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,0,1
