Question,truepositive,falsepositive,falsenegative,recall,precision,f1,accuracy
List all the musicals with music by Elton John.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Give me all writers that won the Nobel Prize in literature.,6.0,9994.0,15.0,6.0E-4,0.2857142857142857,0.0011974852809100887,5.99101347978033E-4
Which caves have more than 3 entrances?,0.0,10000.0,48.0,0.0,0.0,0.0,0.0
Who is the host of the BBC Wildlife Specials?,1.0,0.0,0.0,1.0,1.0,1.0,1.0
Who wrote The Hunger Games?,0.0,10000.0,1.0,0.0,0.0,0.0,0.0
In which city does the Chile Route 68 end?,1.0,0.0,0.0,1.0,1.0,1.0,1.0
What is the highest mountain?,1.0,1946.0,0.0,5.136106831022085E-4,1.0,0.001026694045174538,5.136106831022085E-4
Who was married to president Chirac?,1.0,0.0,0.0,1.0,1.0,1.0,1.0
What did Bruce Carver die from?,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Which countries have places with more than two caves?,0.0,10000.0,26.0,0.0,0.0,0.0,0.0
Which books by Kerouac were published by Viking Press?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Give me all people that were born in Vienna and died in Berlin.,0.0,10000.0,43.0,0.0,0.0,0.0,0.0
Which television shows were created by John Cleese?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Is James Bond married?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Who discovered Ceres?,1.0,0.0,0.0,1.0,1.0,1.0,1.0
Which river does the Brooklyn Bridge cross?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What is the largest country in the world?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Who is the mayor of Paris?,1.0,0.0,0.0,1.0,1.0,1.0,1.0
Who is the coach of Ankara's ice hockey team?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Who is the mayor of the capital of French Polynesia?,1.0,0.0,0.0,1.0,1.0,1.0,1.0
Which organizations were founded in 1930?,1.0,9999.0,377.0,1.0E-4,0.0026455026455026454,1.9271535941414532E-4,9.636696540425942E-5
Give me a list of all bandleaders that play trumpet.,44.0,409.0,2.0,0.09713024282560706,0.9565217391304348,0.17635270541082163,0.0967032967032967
Who are the four youngest MVP basketball players?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Do Prince Harry and Prince William have the same parents?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Who played Agent Smith in Matrix?,0.0,10000.0,2.0,0.0,0.0,0.0,0.0
In which films did Julia Roberts as well as Richard Gere play?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
In which country does the Ganges start?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Give me all actors who were born in Berlin.,2.0,3656.0,0.0,5.467468562055768E-4,1.0,0.001092896174863388,5.467468562055768E-4
